,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
3,ITP,8,1301,17,-1.0276201469405608,34.04413332787778,225.14480615995913
4,ITP,8,1301,17,-1.0096609387375184,34.05879119295689,226.6448061599589
5,ITP,8,1301,17,-0.9655123163805786,34.09237542130147,228.14480615995868
6,ITP,8,1301,17,-0.9174389284630436,34.132965742145,229.64480615995845
0,ITP,1,1259,18,-0.4722310848311828,34.37028010436992,220.83275850251474
1,ITP,1,1259,18,-0.4660294698355116,34.37057466156961,222.3327585025145
2,ITP,1,1259,18,-0.42769936206193765,34.38314266652005,223.83275850251428
3,ITP,1,1259,18,-0.39746183974969346,34.392312162480664,225.33275850251405
4,ITP,1,1259,18,-0.38898716773861436,34.397605165652784,226.83275850251383
5,ITP,1,1259,18,-0.3827386688661243,34.39847053137376,228.3327585025136
6,ITP,1,1259,18,-0.353214413347063,34.412227072464994,229.83275850251337
0,ITP,8,1301,18,-1.1005341143520697,33.981254424974324,220.6823061599598
1,ITP,8,1301,18,-1.071176834286714,34.00418818205693,222.18230615995958
2,ITP,8,1301,18,-1.0460456138490677,34.028410824375776,223.68230615995935
3,ITP,8,1301,18,-1.0274226653783562,34.04470567877306,225.18230615995913
4,ITP,8,1301,18,-1.0090324577170977,34.05921278533421,226.6823061599589
5,ITP,8,1301,18,-0.9641513678617072,34.09281606914164,228.18230615995867
6,ITP,8,1301,18,-0.915746456363908,34.13457700452381,229.68230615995844
0,ITP,1,1259,19,-0.47223818982840005,34.370267027191105,220.87025850251473
1,ITP,1,1259,19,-0.46579786564599857,34.37082812272971,222.3702585025145
2,ITP,1,1259,19,-0.4275764653157388,34.3831180491855,223.87025850251428
3,ITP,1,1259,19,-0.39520450112081096,34.393878264274676,225.37025850251405
4,ITP,1,1259,19,-0.388959082511114,34.39767016046812,226.87025850251382
5,ITP,1,1259,19,-0.38209745071312357,34.398848196391064,228.3702585025136
6,ITP,1,1259,19,-0.353211858700538,34.412298493616724,229.87025850251337
0,ITP,8,1301,19,-1.1001329428569513,33.98213530397944,220.7198061599598
1,ITP,8,1301,19,-1.071141605364124,34.004879174420445,222.21980615995957
2,ITP,8,1301,19,-1.0450398491610915,34.02907289354912,223.71980615995935
3,ITP,8,1301,19,-1.0269830922583747,34.04549522966181,225.21980615995912
4,ITP,8,1301,19,-1.0081816786137205,34.059760202784055,226.7198061599589
5,ITP,8,1301,19,-0.9629297794994924,34.09344433418056,228.21980615995867
6,ITP,8,1301,19,-0.9140539842647722,34.13618826690263,229.71980615995844
0,ITP,1,1259,20,-0.4722452948256173,34.370253950012284,220.90775850251472
1,ITP,1,1259,20,-0.46556626145648555,34.37108158388982,222.4077585025145
2,ITP,1,1259,20,-0.42745356856954,34.383093431850945,223.90775850251427
3,ITP,1,1259,20,-0.3929471624919284,34.39544436606869,225.40775850251404
4,ITP,1,1259,20,-0.38893099728361363,34.397735155283456,226.90775850251381
5,ITP,1,1259,20,-0.38145623256012284,34.39922586140837,228.4077585025136
6,ITP,1,1259,20,-0.3532093040540131,34.41236991476846,229.90775850251336
0,ITP,8,1301,20,-1.099636329491835,33.98333311140408,220.7573061599598
1,ITP,8,1301,20,-1.0707039110557042,34.005463766583304,222.25730615995957
2,ITP,8,1301,20,-1.044034084473115,34.02973496272247,223.75730615995934
3,ITP,8,1301,20,-1.026543519138393,34.04628478055056,225.25730615995911
4,ITP,8,1301,20,-1.0071707013169633,34.06039829555162,226.7573061599589
5,ITP,8,1301,20,-0.9617735937754861,34.094160649204966,228.25730615995866
6,ITP,8,1301,20,-0.912416893637742,34.13769316871217,229.75730615995843
0,ITP,1,1259,21,-0.47217697109045426,34.370208424498436,220.94525850251472
1,ITP,1,1259,21,-0.46408223033983637,34.37128147289411,222.4452585025145
2,ITP,1,1259,21,-0.42733096028689166,34.38306860818364,223.94525850251426
3,ITP,1,1259,21,-0.39068982386304585,34.3970104678627,225.44525850251404
4,ITP,1,1259,21,-0.38890291205611327,34.39780015009879,226.9452585025138
5,ITP,1,1259,21,-0.3808150144071221,34.399603526425665,228.44525850251358
6,ITP,1,1259,21,-0.3532067494074881,34.4124413359202,229.94525850251335
0,ITP,8,1301,21,-1.097831634564275,33.983892661964866,220.7948061599598
1,ITP,8,1301,21,-1.0701824006735963,34.00602620020192,222.29480615995956
2,ITP,8,1301,21,-1.0430767254418167,34.03023007858347,223.79480615995934
3,ITP,8,1301,21,-1.0261039460184114,34.047074331439305,225.2948061599591
4,ITP,8,1301,21,-1.006159724020206,34.06103638831918,226.79480615995888
5,ITP,8,1301,21,-0.9606174080514798,34.09487696422938,228.29480615995865
6,ITP,8,1301,21,-0.9112110959533225,34.13836976890462,229.79480615995843
0,ITP,1,1259,22,-0.47209356919444717,34.370156412580805,220.9827585025147
1,ITP,1,1259,22,-0.4608576165219219,34.37140690903761,222.48275850251449
2,ITP,1,1259,22,-0.42724765804944587,34.38301566961388,223.98275850251426
3,ITP,1,1259,22,-0.39036434760448097,34.39727400439762,225.48275850251403
4,ITP,1,1259,22,-0.3888581659840348,34.39783242847831,226.9827585025138
5,ITP,1,1259,22,-0.3787890338413139,34.40055253913348,228.48275850251358
0,ITP,8,1301,22,-1.0961211562757285,33.98446051775794,220.83230615995978
1,ITP,8,1301,22,-1.06920841753447,34.007168783965774,222.33230615995956
2,ITP,8,1301,22,-1.0421636682036743,34.03057239554414,223.83230615995933
3,ITP,8,1301,22,-1.025661908659504,34.04745916992524,225.3323061599591
4,ITP,8,1301,22,-1.0056447233162227,34.06177753477885,226.83230615995888
5,ITP,8,1301,22,-0.9597428854235094,34.09564032697952,228.33230615995865
6,ITP,8,1301,22,-0.910005298268903,34.139046369097066,229.83230615995842
0,ITP,1,1259,23,-0.4720101672984401,34.37010440066317,221.0202585025147
1,ITP,1,1259,23,-0.4576330027040075,34.371532345181116,222.52025850251448
2,ITP,1,1259,23,-0.42716435581200013,34.38296273104413,224.02025850251425
3,ITP,1,1259,23,-0.39040044777613536,34.39729374670386,225.52025850251403
4,ITP,1,1259,23,-0.38880807523888455,34.397854211672396,227.0202585025138
5,ITP,1,1259,23,-0.3750728957851812,34.40219890437611,228.52025850251357
0,ITP,8,1301,23,-1.0952597169083955,33.98513039888825,220.86980615995978
1,ITP,8,1301,23,-1.0681272899454892,34.0084487458749,222.36980615995955
2,ITP,8,1301,23,-1.041250610965532,34.03091471250481,223.86980615995932
3,ITP,8,1301,23,-1.0252195451192465,34.04779043826561,225.3698061599591
4,ITP,8,1301,23,-1.0051643807734891,34.062525882488586,226.86980615995887
5,ITP,8,1301,23,-0.9591017979408852,34.09644268167731,228.36980615995864
